order_id,date,city,category,price,units,revenue
100000,2024-04-19,Stockholm,Sports,530.95,4,2123.8
100001,2024-05-06,Malmö,Sports,653.28,3,1959.84
100002,2024-03-07,Uppsala,Clothing,177.98,4,711.92
100003,2024-04-08,Göteborg,Home,348.57,3,1045.71
100004,2024-01-18,Uppsala,Electronics,777.07,3,2331.21
100005,2024-03-24,Stockholm,Electronics,628.23,1,628.23
100006,2024-04-16,Uppsala,Electronics,138.41,2,276.82
100007,2024-05-03,Västerås,Sports,545.68,5,2728.4
100008,2024-02-27,Stockholm,Toys,250.05,3,750.15
100009,2024-04-06,Malmö,Electronics,203.21,1,203.21
100010,2024-04-23,Uppsala,Sports,569.67,4,2278.68
100011,2024-05-06,Stockholm,Home,223.04,3,669.12
100012,2024-02-17,Göteborg,Clothing,340.91,5,1704.55
100013,2024-03-14,Stockholm,Sports,656.65,2,1313.3
100014,2024-02-02,Malmö,Home,190.09,1,190.09
100015,2024-06-23,Göteborg,Toys,296.06,2,592.12
100016,2024-04-21,Stockholm,Toys,419.94,5,2099.7
100017,2024-06-02,Stockholm,Sports,1024.21,3,3072.63
100018,2024-03-24,Stockholm,Toys,76.41,1,76.41
100019,2024-03-19,Stockholm,Electronics,618.91,1,618.91
100020,2024-06-13,Göteborg,Electronics,977.11,3,2931.33
100021,2024-04-06,Stockholm,Beauty,266.15,2,532.3
100022,2024-03-09,Stockholm,Sports,281.28,2,562.56
100023,2024-02-19,Västerås,Home,375.04,4,1500.16
100024,2024-02-25,Stockholm,Clothing,554.3,2,1108.6
100025,2024-01-03,Stockholm,Home,184.76,4,739.04
100026,2024-03-25,Göteborg,Clothing,57.58,2,115.16
100027,2024-02-09,Uppsala,Clothing,339.73,3,1019.19
100028,2024-03-07,Uppsala,Clothing,400.23,1,400.23
100029,2024-03-25,Stockholm,Clothing,503.64,6,3021.84
100030,2024-02-17,Stockholm,Home,151.15,2,302.3
100031,2024-06-25,Stockholm,Clothing,415.76,3,1247.28
100032,2024-05-15,Västerås,Beauty,133.29,3,399.87
100033,2024-04-15,Stockholm,Home,440.38,4,1761.52
100034,2024-04-09,Stockholm,Home,360.08,1,360.08
100035,2024-05-04,Göteborg,Clothing,371.22,2,742.44
100036,2024-04-02,Malmö,Home,761.67,4,3046.68
100037,2024-06-29,Stockholm,Toys,182.8,3,548.4
100038,2024-04-12,Stockholm,Clothing,135.66,2,271.32
100039,2024-04-07,Stockholm,Sports,442.89,3,1328.67
100040,2024-04-28,Malmö,Electronics,1302.94,1,1302.94
100041,2024-04-04,Stockholm,Electronics,1434.42,1,1434.42
100042,2024-06-04,Stockholm,Home,329.19,2,658.38
100043,2024-02-04,Malmö,Home,385.68,1,385.68
100044,2024-03-17,Uppsala,Electronics,471.96,2,943.92
100045,2024-06-17,Västerås,Sports,1052.08,6,6312.48
100046,2024-05-11,Göteborg,Clothing,360.04,2,720.08
100047,2024-04-16,Stockholm,Clothing,483.74,6,2902.44
100048,2024-03-10,Malmö,Sports,507.68,4,2030.72
100049,2024-03-05,Malmö,Sports,299.88,2,599.76
100050,2024-03-16,Västerås,Home,599.04,5,2995.2
100051,2024-06-11,Stockholm,Clothing,125.82,5,629.1
